SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/750/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 387 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   6.842e+000    -8.693e+000  
T     =       1.162s      656.558m  

RSS   =   1.411e-002
SD    =   2.169e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.989e-001   -1.133e-003
    2       2.000s    7.998e-001    8.111e-001    1.131e-002
    3       3.000s    4.659e-001    4.278e-001   -3.807e-002
    4       4.000s    1.712e-001    1.995e-001    2.829e-002
    5       5.000s    4.169e-002    8.840e-002    4.671e-002
    6       6.000s    4.570e-002    3.828e-002   -7.429e-003
    7       7.000s    6.779e-002    1.638e-002   -5.141e-002
    8       8.000s    5.277e-002    6.972e-003   -4.579e-002
    9       9.000s    3.057e-002    2.958e-003   -2.761e-002
   10      10.000s    3.061e-002    1.254e-003   -2.936e-002
   11      11.000s    3.663e-002    5.307e-004   -3.610e-002
   12      12.000s    2.849e-002    2.246e-004   -2.826e-002
   13      13.000s    1.618e-002    9.503e-005   -1.609e-002
   14      14.000s    1.412e-002    4.020e-005   -1.408e-002
   15      15.000s    1.536e-002    1.701e-005   -1.534e-002
   16      16.000s    9.632e-003    7.195e-006   -9.625e-003
   17      17.000s    3.029e-003    3.044e-006   -3.026e-003
   18      18.000s    3.732e-003    1.288e-006   -3.730e-003
   19      19.000s    6.130e-003    5.447e-007   -6.130e-003
   20      20.000s    3.182e-003    2.304e-007   -3.182e-003
   21      21.000s    -4.735e-005    9.748e-008    4.745e-005
   22      22.000s    2.575e-003    4.123e-008   -2.575e-003
   23      23.000s    6.078e-003    1.744e-008   -6.078e-003
   24      24.000s    4.301e-003    7.379e-009   -4.301e-003
   25      25.000s    1.335e-003    3.121e-009   -1.335e-003
   26      26.000s    2.954e-003    1.320e-009   -2.954e-003
   27      27.000s    5.872e-003    5.586e-010   -5.872e-003
   28      28.000s    4.971e-003    2.363e-010   -4.971e-003
   29      29.000s    3.195e-003    9.996e-011   -3.195e-003
   30      30.000s    5.499e-003    4.229e-011   -5.499e-003

============================================================

