SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack02_RCM_231214/732/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 165 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.095e+000    2.449e-001  
T     =       4.033s        4.033s  

RSS   =   9.144e-003
SD    =   1.746e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.045e+000    4.535e-002
    2       2.000s    8.631e-001    8.158e-001   -4.731e-002
    3       3.000s    6.759e-001    6.366e-001   -3.930e-002
    4       4.000s    5.028e-001    4.968e-001   -6.039e-003
    5       5.000s    3.784e-001    3.877e-001    9.350e-003
    6       6.000s    2.870e-001    3.026e-001    1.552e-002
    7       7.000s    2.127e-001    2.361e-001    2.345e-002
    8       8.000s    1.604e-001    1.843e-001    2.384e-002
    9       9.000s    1.307e-001    1.438e-001    1.309e-002
   10      10.000s    1.082e-001    1.122e-001    4.036e-003
   11      11.000s    8.448e-002    8.757e-002    3.084e-003
   12      12.000s    6.690e-002    6.834e-002    1.436e-003
   13      13.000s    5.870e-002    5.333e-002   -5.370e-003
   14      14.000s    5.120e-002    4.162e-002   -9.586e-003
   15      15.000s    3.990e-002    3.248e-002   -7.426e-003
   16      16.000s    3.104e-002    2.534e-002   -5.697e-003
   17      17.000s    2.774e-002    1.978e-002   -7.958e-003
   18      18.000s    2.435e-002    1.543e-002   -8.916e-003
   19      19.000s    1.835e-002    1.205e-002   -6.304e-003
   20      20.000s    1.467e-002    9.400e-003   -5.275e-003
   21      21.000s    1.501e-002    7.335e-003   -7.676e-003
   22      22.000s    1.432e-002    5.724e-003   -8.591e-003
   23      23.000s    1.084e-002    4.467e-003   -6.370e-003
   24      24.000s    9.089e-003    3.486e-003   -5.603e-003
   25      25.000s    1.056e-002    2.721e-003   -7.841e-003
   26      26.000s    1.124e-002    2.123e-003   -9.115e-003
   27      27.000s    1.026e-002    1.657e-003   -8.607e-003
   28      28.000s    1.183e-002    1.293e-003   -1.054e-002
   29      29.000s    1.682e-002    1.009e-003   -1.582e-002
   30      30.000s    2.126e-002    7.874e-004   -2.047e-002

============================================================

