SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/600/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 235 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.551e+000    -2.114e-001  
T     =       2.420s      432.810m  

RSS   =   9.503e-003
SD    =   1.780e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.005e+000    4.997e-003
    2       2.000s    7.034e-001    6.766e-001   -2.680e-002
    3       3.000s    4.421e-001    4.488e-001    6.673e-003
    4       4.000s    2.680e-001    2.970e-001    2.904e-002
    5       5.000s    1.714e-001    1.965e-001    2.509e-002
    6       6.000s    1.202e-001    1.300e-001    9.759e-003
    7       7.000s    9.167e-002    8.599e-002   -5.686e-003
    8       8.000s    7.536e-002    5.688e-002   -1.848e-002
    9       9.000s    6.484e-002    3.763e-002   -2.721e-002
   10      10.000s    5.574e-002    2.489e-002   -3.084e-002
   11      11.000s    4.728e-002    1.647e-002   -3.081e-002
   12      12.000s    4.013e-002    1.089e-002   -2.923e-002
   13      13.000s    3.371e-002    7.207e-003   -2.651e-002
   14      14.000s    2.732e-002    4.767e-003   -2.255e-002
   15      15.000s    2.171e-002    3.154e-003   -1.856e-002
   16      16.000s    1.783e-002    2.086e-003   -1.575e-002
   17      17.000s    1.521e-002    1.380e-003   -1.383e-002
   18      18.000s    1.302e-002    9.130e-004   -1.210e-002
   19      19.000s    1.142e-002    6.040e-004   -1.082e-002
   20      20.000s    1.076e-002    3.996e-004   -1.036e-002
   21      21.000s    1.046e-002    2.643e-004   -1.020e-002
   22      22.000s    9.881e-003    1.749e-004   -9.706e-003
   23      23.000s    9.129e-003    1.157e-004   -9.014e-003
   24      24.000s    8.534e-003    7.652e-005   -8.457e-003
   25      25.000s    8.008e-003    5.062e-005   -7.958e-003
   26      26.000s    7.658e-003    3.349e-005   -7.625e-003
   27      27.000s    8.073e-003    2.215e-005   -8.050e-003
   28      28.000s    9.407e-003    1.465e-005   -9.392e-003
   29      29.000s    1.105e-002    9.694e-006   -1.104e-002
   30      30.000s    1.288e-002    6.413e-006   -1.287e-002

============================================================

