SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/620/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 361 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.369e+000    4.670e-002  
T     =       2.949s       14.340s  

RSS   =   2.374e-003
SD    =   8.895e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.018e+000    1.847e-002
    2       2.000s    7.622e-001    7.351e-001   -2.701e-002
    3       3.000s    5.482e-001    5.327e-001   -1.557e-002
    4       4.000s    3.854e-001    3.878e-001    2.410e-003
    5       5.000s    2.701e-001    2.841e-001    1.390e-002
    6       6.000s    1.928e-001    2.096e-001    1.678e-002
    7       7.000s    1.437e-001    1.561e-001    1.241e-002
    8       8.000s    1.120e-001    1.175e-001    5.516e-003
    9       9.000s    8.965e-002    8.960e-002   -4.547e-005
   10      10.000s    7.363e-002    6.933e-002   -4.304e-003
   11      11.000s    6.246e-002    5.451e-002   -7.954e-003
   12      12.000s    5.332e-002    4.361e-002   -9.711e-003
   13      13.000s    4.428e-002    3.552e-002   -8.761e-003
   14      14.000s    3.620e-002    2.946e-002   -6.736e-003
   15      15.000s    3.009e-002    2.486e-002   -5.226e-003
   16      16.000s    2.498e-002    2.133e-002   -3.655e-003
   17      17.000s    1.980e-002    1.856e-002   -1.238e-003
   18      18.000s    1.534e-002    1.637e-002    1.022e-003
   19      19.000s    1.265e-002    1.459e-002    1.945e-003
   20      20.000s    1.104e-002    1.313e-002    2.089e-003
   21      21.000s    9.342e-003    1.190e-002    2.561e-003
   22      22.000s    7.676e-003    1.086e-002    3.182e-003
   23      23.000s    6.795e-003    9.953e-003    3.158e-003
   24      24.000s    6.599e-003    9.159e-003    2.560e-003
   25      25.000s    6.472e-003    8.454e-003    1.983e-003
   26      26.000s    6.271e-003    7.822e-003    1.551e-003
   27      27.000s    6.076e-003    7.251e-003    1.175e-003
   28      28.000s    5.631e-003    6.731e-003    1.099e-003
   29      29.000s    4.857e-003    6.254e-003    1.398e-003
   30      30.000s    4.463e-003    5.817e-003    1.354e-003

============================================================

