SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/640/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 166 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.527e+000    1.138e-002  
T     =       2.495s      229.999s  

RSS   =   1.149e-002
SD    =   1.957e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.034e+000    3.414e-002
    2       2.000s    7.539e-001    6.964e-001   -5.750e-002
    3       3.000s    5.040e-001    4.701e-001   -3.393e-002
    4       4.000s    2.990e-001    3.185e-001    1.955e-002
    5       5.000s    1.691e-001    2.170e-001    4.790e-002
    6       6.000s    1.108e-001    1.490e-001    3.821e-002
    7       7.000s    9.167e-002    1.034e-001    1.173e-002
    8       8.000s    8.015e-002    7.285e-002   -7.298e-003
    9       9.000s    6.657e-002    5.238e-002   -1.419e-002
   10      10.000s    5.542e-002    3.865e-002   -1.676e-002
   11      11.000s    4.775e-002    2.944e-002   -1.831e-002
   12      12.000s    3.958e-002    2.326e-002   -1.633e-002
   13      13.000s    3.056e-002    1.910e-002   -1.147e-002
   14      14.000s    2.422e-002    1.630e-002   -7.925e-003
   15      15.000s    2.089e-002    1.441e-002   -6.485e-003
   16      16.000s    1.738e-002    1.313e-002   -4.258e-003
   17      17.000s    1.299e-002    1.225e-002   -7.407e-004
   18      18.000s    1.016e-002    1.165e-002    1.492e-003
   19      19.000s    9.379e-003    1.123e-002    1.855e-003
   20      20.000s    8.324e-003    1.094e-002    2.616e-003
   21      21.000s    6.216e-003    1.073e-002    4.512e-003
   22      22.000s    4.949e-003    1.057e-002    5.624e-003
   23      23.000s    5.357e-003    1.045e-002    5.096e-003
   24      24.000s    5.834e-003    1.036e-002    4.524e-003
   25      25.000s    5.327e-003    1.028e-002    4.953e-003
   26      26.000s    4.862e-003    1.021e-002    5.351e-003
   27      27.000s    5.396e-003    1.015e-002    4.758e-003
   28      28.000s    6.557e-003    1.010e-002    3.543e-003
   29      29.000s    8.209e-003    1.005e-002    1.840e-003
   30      30.000s    1.124e-002    1.000e-002   -1.238e-003

============================================================

