SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/800/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 396 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.267e+000    8.084e-002  
T     =       3.316s       12.138s  

RSS   =   1.015e-003
SD    =   5.818e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.012e+000    1.188e-002
    2       2.000s    7.791e-001    7.619e-001   -1.712e-002
    3       3.000s    5.840e-001    5.760e-001   -7.972e-003
    4       4.000s    4.388e-001    4.375e-001   -1.318e-003
    5       5.000s    3.276e-001    3.341e-001    6.563e-003
    6       6.000s    2.432e-001    2.569e-001    1.364e-002
    7       7.000s    1.888e-001    1.989e-001    1.012e-002
    8       8.000s    1.548e-001    1.554e-001    6.109e-004
    9       9.000s    1.253e-001    1.225e-001   -2.842e-003
   10      10.000s    9.896e-002    9.759e-002   -1.369e-003
   11      11.000s    8.228e-002    7.861e-002   -3.666e-003
   12      12.000s    7.205e-002    6.407e-002   -7.982e-003
   13      13.000s    5.948e-002    5.284e-002   -6.637e-003
   14      14.000s    4.577e-002    4.410e-002   -1.662e-003
   15      15.000s    3.797e-002    3.725e-002   -7.269e-004
   16      16.000s    3.462e-002    3.181e-002   -2.814e-003
   17      17.000s    2.886e-002    2.745e-002   -1.408e-003
   18      18.000s    2.139e-002    2.391e-002    2.519e-003
   19      19.000s    1.810e-002    2.101e-002    2.912e-003
   20      20.000s    1.827e-002    1.861e-002    3.369e-004
   21      21.000s    1.637e-002    1.658e-002    2.120e-004
   22      22.000s    1.246e-002    1.486e-002    2.400e-003
   23      23.000s    1.089e-002    1.338e-002    2.497e-003
   24      24.000s    1.128e-002    1.210e-002    8.260e-004
   25      25.000s    9.893e-003    1.098e-002    1.087e-003
   26      26.000s    7.471e-003    9.990e-003    2.519e-003
   27      27.000s    7.428e-003    9.110e-003    1.682e-003
   28      28.000s    8.728e-003    8.322e-003   -4.052e-004
   29      29.000s    8.276e-003    7.615e-003   -6.614e-004
   30      30.000s    7.914e-003    6.976e-003   -9.383e-004

============================================================

