SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/820/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 360 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.448e+000    3.690e-002  
T     =       2.564s       16.855s  

RSS   =   2.335e-003
SD    =   8.823e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.015e+000    1.491e-002
    2       2.000s    7.183e-001    6.964e-001   -2.188e-002
    3       3.000s    4.944e-001    4.802e-001   -1.416e-002
    4       4.000s    3.346e-001    3.333e-001   -1.300e-003
    5       5.000s    2.186e-001    2.334e-001    1.483e-002
    6       6.000s    1.449e-001    1.653e-001    2.038e-002
    7       7.000s    1.073e-001    1.188e-001    1.147e-002
    8       8.000s    8.354e-002    8.688e-002    3.340e-003
    9       9.000s    6.246e-002    6.492e-002    2.459e-003
   10      10.000s    5.126e-002    4.969e-002   -1.566e-003
   11      11.000s    5.055e-002    3.905e-002   -1.150e-002
   12      12.000s    4.733e-002    3.154e-002   -1.579e-002
   13      13.000s    3.659e-002    2.616e-002   -1.043e-002
   14      14.000s    2.763e-002    2.224e-002   -5.387e-003
   15      15.000s    2.485e-002    1.932e-002   -5.524e-003
   16      16.000s    2.112e-002    1.710e-002   -4.016e-003
   17      17.000s    1.366e-002    1.537e-002    1.706e-003
   18      18.000s    9.421e-003    1.398e-002    4.556e-003
   19      19.000s    1.086e-002    1.283e-002    1.967e-003
   20      20.000s    1.134e-002    1.186e-002    5.134e-004
   21      21.000s    8.058e-003    1.102e-002    2.959e-003
   22      22.000s    6.371e-003    1.028e-002    3.905e-003
   23      23.000s    8.307e-003    9.612e-003    1.305e-003
   24      24.000s    8.766e-003    9.009e-003    2.430e-004
   25      25.000s    5.968e-003    8.457e-003    2.489e-003
   26      26.000s    4.645e-003    7.948e-003    3.303e-003
   27      27.000s    6.395e-003    7.475e-003    1.080e-003
   28      28.000s    6.928e-003    7.034e-003    1.056e-004
   29      29.000s    4.890e-003    6.622e-003    1.732e-003
   30      30.000s    4.073e-003    6.236e-003    2.163e-003

============================================================

