SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/280/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.503e+000    5.317e-003  
T     =       2.597s    25172069417091.078s  

RSS   =   5.518e-003
SD    =   1.356e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.815e-002
    2       2.000s    7.494e-001    7.013e-001   -4.812e-002
    3       3.000s    4.850e-001    4.788e-001   -6.139e-003
    4       4.000s    3.254e-001    3.275e-001    2.119e-003
    5       5.000s    2.243e-001    2.245e-001    2.703e-004
    6       6.000s    1.340e-001    1.545e-001    2.045e-002
    7       7.000s    7.582e-002    1.068e-001    3.098e-002
    8       8.000s    6.096e-002    7.437e-002    1.340e-002
    9       9.000s    5.383e-002    5.230e-002   -1.534e-003
   10      10.000s    3.373e-002    3.728e-002    3.557e-003
   11      11.000s    2.180e-002    2.707e-002    5.268e-003
   12      12.000s    2.885e-002    2.012e-002   -8.731e-003
   13      13.000s    3.228e-002    1.539e-002   -1.690e-002
   14      14.000s    2.031e-002    1.217e-002   -8.144e-003
   15      15.000s    1.165e-002    9.978e-003   -1.670e-003
   16      16.000s    1.668e-002    8.489e-003   -8.189e-003
   17      17.000s    1.919e-002    7.475e-003   -1.171e-002
   18      18.000s    1.008e-002    6.785e-003   -3.298e-003
   19      19.000s    3.735e-003    6.316e-003    2.581e-003
   20      20.000s    8.237e-003    5.997e-003   -2.240e-003
   21      21.000s    1.076e-002    5.780e-003   -4.976e-003
   22      22.000s    4.227e-003    5.632e-003    1.405e-003
   23      23.000s    4.067e-004    5.531e-003    5.125e-003
   24      24.000s    5.475e-003    5.463e-003   -1.169e-005
   25      25.000s    8.290e-003    5.416e-003   -2.873e-003
   26      26.000s    2.990e-003    5.385e-003    2.395e-003
   27      27.000s    -2.173e-004    5.363e-003    5.580e-003
   28      28.000s    4.027e-003    5.348e-003    1.321e-003
   29      29.000s    6.414e-003    5.338e-003   -1.076e-003
   30      30.000s    2.318e-003    5.332e-003    3.014e-003

============================================================

