SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/70/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.456e+000    5.523e-003  
T     =       2.830s    4768700004455.036s  

RSS   =   5.201e-003
SD    =   1.317e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.821e-002
    2       2.000s    7.594e-001    7.238e-001   -3.555e-002
    3       3.000s    5.362e-001    5.100e-001   -2.621e-002
    4       4.000s    3.670e-001    3.598e-001   -7.110e-003
    5       5.000s    2.388e-001    2.544e-001    1.559e-002
    6       6.000s    1.516e-001    1.803e-001    2.872e-002
    7       7.000s    1.057e-001    1.283e-001    2.256e-002
    8       8.000s    8.091e-002    9.174e-002    1.083e-002
    9       9.000s    5.894e-002    6.608e-002    7.141e-003
   10      10.000s    4.347e-002    4.805e-002    4.579e-003
   11      11.000s    4.021e-002    3.539e-002   -4.813e-003
   12      12.000s    3.927e-002    2.650e-002   -1.276e-002
   13      13.000s    3.158e-002    2.026e-002   -1.132e-002
   14      14.000s    2.344e-002    1.587e-002   -7.573e-003
   15      15.000s    2.169e-002    1.279e-002   -8.894e-003
   16      16.000s    2.048e-002    1.063e-002   -9.847e-003
   17      17.000s    1.414e-002    9.109e-003   -5.032e-003
   18      18.000s    8.551e-003    8.041e-003   -5.100e-004
   19      19.000s    9.130e-003    7.292e-003   -1.838e-003
   20      20.000s    1.033e-002    6.765e-003   -3.565e-003
   21      21.000s    6.719e-003    6.396e-003   -3.232e-004
   22      22.000s    3.021e-003    6.136e-003    3.115e-003
   23      23.000s    4.232e-003    5.954e-003    1.722e-003
   24      24.000s    6.180e-003    5.825e-003   -3.544e-004
   25      25.000s    4.248e-003    5.735e-003    1.488e-003
   26      26.000s    1.976e-003    5.672e-003    3.697e-003
   27      27.000s    3.303e-003    5.628e-003    2.325e-003
   28      28.000s    4.974e-003    5.597e-003    6.232e-004
   29      29.000s    3.648e-003    5.575e-003    1.927e-003
   30      30.000s    2.364e-003    5.559e-003    3.196e-003

============================================================

