SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/510/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 436 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.502e+000    2.649e-002  
T     =       2.468s       21.139s  

RSS   =   6.171e-003
SD    =   1.434e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.027e+000    2.683e-002
    2       2.000s    7.501e-001    6.920e-001   -5.813e-002
    3       3.000s    4.717e-001    4.684e-001   -3.287e-003
    4       4.000s    2.857e-001    3.189e-001    3.328e-002
    5       5.000s    2.012e-001    2.190e-001    1.778e-002
    6       6.000s    1.529e-001    1.520e-001   -8.821e-004
    7       7.000s    1.034e-001    1.071e-001    3.664e-003
    8       8.000s    6.780e-002    7.688e-002    9.085e-003
    9       9.000s    5.796e-002    5.648e-002   -1.489e-003
   10      10.000s    5.541e-002    4.263e-002   -1.278e-002
   11      11.000s    4.367e-002    3.316e-002   -1.051e-002
   12      12.000s    3.095e-002    2.663e-002   -4.323e-003
   13      13.000s    2.778e-002    2.207e-002   -5.710e-003
   14      14.000s    2.755e-002    1.882e-002   -8.725e-003
   15      15.000s    2.159e-002    1.647e-002   -5.116e-003
   16      16.000s    1.446e-002    1.472e-002    2.669e-004
   17      17.000s    1.268e-002    1.338e-002    7.020e-004
   18      18.000s    1.254e-002    1.233e-002   -2.114e-004
   19      19.000s    9.113e-003    1.146e-002    2.350e-003
   20      20.000s    5.964e-003    1.074e-002    4.773e-003
   21      21.000s    6.952e-003    1.011e-002    3.158e-003
   22      22.000s    8.236e-003    9.557e-003    1.321e-003
   23      23.000s    6.034e-003    9.057e-003    3.023e-003
   24      24.000s    3.857e-003    8.600e-003    4.743e-003
   25      25.000s    5.225e-003    8.177e-003    2.952e-003
   26      26.000s    6.943e-003    7.782e-003    8.388e-004
   27      27.000s    5.817e-003    7.411e-003    1.593e-003
   28      28.000s    4.989e-003    7.061e-003    2.072e-003
   29      29.000s    7.674e-003    6.730e-003   -9.446e-004
   30      30.000s    1.105e-002    6.415e-003   -4.637e-003

============================================================

