SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/300/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.597e+000    1.757e-003  
T     =       2.470s    14475231914695.229s  

RSS   =   2.915e-002
SD    =   3.117e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.067e+000    6.715e-002
    2       2.000s    8.122e-001    7.124e-001   -9.977e-002
    3       3.000s    5.425e-001    4.758e-001   -6.676e-002
    4       4.000s    3.012e-001    3.180e-001    1.680e-002
    5       5.000s    1.515e-001    2.127e-001    6.115e-002
    6       6.000s    8.327e-002    1.424e-001    5.918e-002
    7       7.000s    5.571e-002    9.560e-002    3.989e-002
    8       8.000s    4.367e-002    6.435e-002    2.068e-002
    9       9.000s    3.963e-002    4.351e-002    3.885e-003
   10      10.000s    3.739e-002    2.961e-002   -7.779e-003
   11      11.000s    3.146e-002    2.034e-002   -1.112e-002
   12      12.000s    2.385e-002    1.415e-002   -9.700e-003
   13      13.000s    1.924e-002    1.002e-002   -9.213e-003
   14      14.000s    1.665e-002    7.271e-003   -9.380e-003
   15      15.000s    1.272e-002    5.435e-003   -7.281e-003
   16      16.000s    8.615e-003    4.211e-003   -4.404e-003
   17      17.000s    7.378e-003    3.394e-003   -3.984e-003
   18      18.000s    7.775e-003    2.849e-003   -4.926e-003
   19      19.000s    6.650e-003    2.485e-003   -4.164e-003
   20      20.000s    4.584e-003    2.243e-003   -2.341e-003
   21      21.000s    4.189e-003    2.081e-003   -2.108e-003
   22      22.000s    5.044e-003    1.973e-003   -3.070e-003
   23      23.000s    4.843e-003    1.901e-003   -2.942e-003
   24      24.000s    3.774e-003    1.853e-003   -1.920e-003
   25      25.000s    3.714e-003    1.821e-003   -1.892e-003
   26      26.000s    4.528e-003    1.800e-003   -2.728e-003
   27      27.000s    4.661e-003    1.786e-003   -2.876e-003
   28      28.000s    4.275e-003    1.776e-003   -2.499e-003
   29      29.000s    4.832e-003    1.770e-003   -3.062e-003
   30      30.000s    6.583e-003    1.766e-003   -4.817e-003

============================================================

