SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/490/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 150 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.467e+000    6.875e-003  
T     =       2.899s      299.903s  

RSS   =   1.168e-002
SD    =   1.973e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.046e+000    4.608e-002
    2       2.000s    8.025e-001    7.428e-001   -5.964e-002
    3       3.000s    5.727e-001    5.281e-001   -4.469e-002
    4       4.000s    3.731e-001    3.759e-001    2.799e-003
    5       5.000s    2.408e-001    2.682e-001    2.743e-002
    6       6.000s    1.626e-001    1.919e-001    2.927e-002
    7       7.000s    1.097e-001    1.379e-001    2.812e-002
    8       8.000s    7.446e-002    9.957e-002    2.511e-002
    9       9.000s    5.978e-002    7.245e-002    1.266e-002
   10      10.000s    5.571e-002    5.323e-002   -2.483e-003
   11      11.000s    4.842e-002    3.962e-002   -8.804e-003
   12      12.000s    3.903e-002    2.997e-002   -9.060e-003
   13      13.000s    3.512e-002    2.313e-002   -1.199e-002
   14      14.000s    3.359e-002    1.828e-002   -1.531e-002
   15      15.000s    2.711e-002    1.484e-002   -1.227e-002
   16      16.000s    1.854e-002    1.240e-002   -6.148e-003
   17      17.000s    1.500e-002    1.066e-002   -4.344e-003
   18      18.000s    1.457e-002    9.422e-003   -5.147e-003
   19      19.000s    1.121e-002    8.541e-003   -2.670e-003
   20      20.000s    6.665e-003    7.910e-003    1.245e-003
   21      21.000s    6.192e-003    7.457e-003    1.265e-003
   22      22.000s    7.978e-003    7.130e-003   -8.478e-004
   23      23.000s    7.005e-003    6.892e-003   -1.130e-004
   24      24.000s    4.615e-003    6.718e-003    2.103e-003
   25      25.000s    4.963e-003    6.588e-003    1.625e-003
   26      26.000s    6.530e-003    6.490e-003   -3.960e-005
   27      27.000s    5.629e-003    6.415e-003    7.859e-004
   28      28.000s    3.950e-003    6.355e-003    2.405e-003
   29      29.000s    4.708e-003    6.307e-003    1.600e-003
   30      30.000s    5.854e-003    6.267e-003    4.128e-004

============================================================

