SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/400/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 352 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.103e+000    6.235e-002  
T     =       1.281s       11.316s  

RSS   =   1.808e-002
SD    =   2.455e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.020e+000    2.026e-002
    2       2.000s    5.727e-001    4.935e-001   -7.928e-002
    3       3.000s    2.047e-001    2.499e-001    4.527e-002
    4       4.000s    5.953e-002    1.364e-001    7.685e-002
    5       5.000s    7.581e-002    8.249e-002    6.687e-003
    6       6.000s    9.731e-002    5.612e-002   -4.119e-002
    7       7.000s    6.789e-002    4.249e-002   -2.541e-002
    8       8.000s    3.842e-002    3.482e-002   -3.596e-003
    9       9.000s    4.110e-002    3.001e-002   -1.109e-002
   10      10.000s    4.655e-002    2.662e-002   -1.993e-002
   11      11.000s    3.217e-002    2.398e-002   -8.197e-003
   12      12.000s    1.730e-002    2.177e-002    4.470e-003
   13      13.000s    1.828e-002    1.985e-002    1.565e-003
   14      14.000s    2.088e-002    1.813e-002   -2.755e-003
   15      15.000s    1.288e-002    1.658e-002    3.699e-003
   16      16.000s    5.635e-003    1.517e-002    9.533e-003
   17      17.000s    8.334e-003    1.388e-002    5.549e-003
   18      18.000s    1.075e-002    1.271e-002    1.953e-003
   19      19.000s    5.167e-003    1.163e-002    6.464e-003
   20      20.000s    8.135e-004    1.065e-002    9.833e-003
   21      21.000s    4.582e-003    9.746e-003    5.164e-003
   22      22.000s    8.100e-003    8.922e-003    8.219e-004
   23      23.000s    4.798e-003    8.167e-003    3.369e-003
   24      24.000s    1.717e-003    7.476e-003    5.759e-003
   25      25.000s    4.567e-003    6.844e-003    2.277e-003
   26      26.000s    7.115e-003    6.265e-003   -8.504e-004
   27      27.000s    4.501e-003    5.735e-003    1.234e-003
   28      28.000s    2.805e-003    5.250e-003    2.445e-003
   29      29.000s    6.898e-003    4.806e-003   -2.092e-003
   30      30.000s    1.149e-002    4.399e-003   -7.094e-003

============================================================

