SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/630/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.053e+000    3.472e-003  
T     =       1.480s    4264977414801.989s  

RSS   =   5.004e-002
SD    =   4.084e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.048e+000    4.813e-002
    2       2.000s    6.814e-001    5.351e-001   -1.463e-001
    3       3.000s    2.528e-001    2.740e-001    2.122e-002
    4       4.000s    8.769e-003    1.412e-001    1.324e-001
    5       5.000s    2.650e-003    7.354e-002    7.089e-002
    6       6.000s    6.031e-002    3.913e-002   -2.119e-002
    7       7.000s    5.136e-002    2.162e-002   -2.974e-002
    8       8.000s    1.305e-002    1.271e-002   -3.435e-004
    9       9.000s    1.430e-002    8.172e-003   -6.131e-003
   10      10.000s    3.482e-002    5.864e-003   -2.895e-002
   11      11.000s    2.779e-002    4.689e-003   -2.310e-002
   12      12.000s    6.827e-003    4.091e-003   -2.736e-003
   13      13.000s    7.081e-003    3.787e-003   -3.294e-003
   14      14.000s    1.846e-002    3.632e-003   -1.483e-002
   15      15.000s    1.320e-002    3.554e-003   -9.646e-003
   16      16.000s    -4.033e-004    3.514e-003    3.917e-003
   17      17.000s    8.165e-004    3.493e-003    2.677e-003
   18      18.000s    1.001e-002    3.483e-003   -6.525e-003
   19      19.000s    7.330e-003    3.478e-003   -3.852e-003
   20      20.000s    -1.647e-003    3.475e-003    5.122e-003
   21      21.000s    -3.469e-005    3.473e-003    3.508e-003
   22      22.000s    7.106e-003    3.473e-003   -3.633e-003
   23      23.000s    4.926e-003    3.472e-003   -1.453e-003
   24      24.000s    -1.893e-003    3.472e-003    5.365e-003
   25      25.000s    -2.720e-005    3.472e-003    3.499e-003
   26      26.000s    6.076e-003    3.472e-003   -2.603e-003
   27      27.000s    4.035e-003    3.472e-003   -5.630e-004
   28      28.000s    -2.167e-003    3.472e-003    5.639e-003
   29      29.000s    -7.962e-004    3.472e-003    4.268e-003
   30      30.000s    5.192e-003    3.472e-003   -1.720e-003

============================================================

