SIMFIT RESULTS
==============

Dataset : \\biomolmed1.med.ic.ac.uk\Data_Archives2\ALZ\Urine/ALZ_Urine_Rack01_RCM_221214/10/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 409 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.232e+000    1.188e-001  
T     =       3.281s       13.516s  

RSS   =   2.399e-003
SD    =   8.943e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.018e+000    1.837e-002
    2       2.000s    8.036e-001    7.720e-001   -3.166e-002
    3       3.000s    5.998e-001    5.888e-001   -1.108e-002
    4       4.000s    4.411e-001    4.523e-001    1.117e-002
    5       5.000s    3.347e-001    3.504e-001    1.569e-002
    6       6.000s    2.627e-001    2.740e-001    1.136e-002
    7       7.000s    2.104e-001    2.166e-001    6.279e-003
    8       8.000s    1.725e-001    1.733e-001    8.002e-004
    9       9.000s    1.451e-001    1.403e-001   -4.815e-003
   10      10.000s    1.231e-001    1.151e-001   -7.995e-003
   11      11.000s    1.038e-001    9.574e-002   -8.083e-003
   12      12.000s    8.763e-002    8.066e-002   -6.969e-003
   13      13.000s    7.443e-002    6.882e-002   -5.605e-003
   14      14.000s    6.285e-002    5.943e-002   -3.422e-003
   15      15.000s    5.264e-002    5.188e-002   -7.557e-004
   16      16.000s    4.468e-002    4.575e-002    1.069e-003
   17      17.000s    3.879e-002    4.069e-002    1.898e-003
   18      18.000s    3.374e-002    3.646e-002    2.715e-003
   19      19.000s    2.921e-002    3.288e-002    3.668e-003
   20      20.000s    2.583e-002    2.982e-002    3.987e-003
   21      21.000s    2.352e-002    2.716e-002    3.635e-003
   22      22.000s    2.146e-002    2.483e-002    3.365e-003
   23      23.000s    1.949e-002    2.277e-002    3.278e-003
   24      24.000s    1.817e-002    2.093e-002    2.767e-003
   25      25.000s    1.751e-002    1.928e-002    1.775e-003
   26      26.000s    1.698e-002    1.779e-002    8.137e-004
   27      27.000s    1.660e-002    1.644e-002   -1.660e-004
   28      28.000s    1.696e-002    1.520e-002   -1.758e-003
   29      29.000s    1.812e-002    1.407e-002   -4.053e-003
   30      30.000s    1.967e-002    1.303e-002   -6.639e-003

============================================================

