SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/560/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 345 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.291e+000    1.143e-001  
T     =       2.910s       11.765s  

RSS   =   3.191e-003
SD    =   1.031e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.020e+000    2.028e-002
    2       2.000s    7.746e-001    7.456e-001   -2.901e-002
    3       3.000s    5.673e-001    5.489e-001   -1.835e-002
    4       4.000s    4.062e-001    4.079e-001    1.703e-003
    5       5.000s    2.904e-001    3.063e-001    1.589e-002
    6       6.000s    2.135e-001    2.329e-001    1.933e-002
    7       7.000s    1.653e-001    1.795e-001    1.422e-002
    8       8.000s    1.332e-001    1.405e-001    7.335e-003
    9       9.000s    1.100e-001    1.118e-001    1.753e-003
   10      10.000s    9.449e-002    9.039e-002   -4.099e-003
   11      11.000s    8.424e-002    7.433e-002   -9.912e-003
   12      12.000s    7.469e-002    6.211e-002   -1.259e-002
   13      13.000s    6.426e-002    5.267e-002   -1.159e-002
   14      14.000s    5.484e-002    4.528e-002   -9.566e-003
   15      15.000s    4.703e-002    3.939e-002   -7.637e-003
   16      16.000s    3.937e-002    3.462e-002   -4.749e-003
   17      17.000s    3.199e-002    3.069e-002   -1.301e-003
   18      18.000s    2.661e-002    2.740e-002    7.959e-004
   19      19.000s    2.307e-002    2.461e-002    1.547e-003
   20      20.000s    1.953e-002    2.221e-002    2.685e-003
   21      21.000s    1.587e-002    2.012e-002    4.254e-003
   22      22.000s    1.358e-002    1.829e-002    4.706e-003
   23      23.000s    1.256e-002    1.665e-002    4.093e-003
   24      24.000s    1.120e-002    1.520e-002    4.002e-003
   25      25.000s    9.401e-003    1.389e-002    4.488e-003
   26      26.000s    8.677e-003    1.271e-002    4.030e-003
   27      27.000s    9.140e-003    1.164e-002    2.495e-003
   28      28.000s    9.236e-003    1.066e-002    1.426e-003
   29      29.000s    8.440e-003    9.775e-003    1.335e-003
   30      30.000s    7.886e-003    8.966e-003    1.080e-003

============================================================

