SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack03_RCM_06012015/740/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 161 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.454e+000    1.346e-002  
T     =       2.671s      187.965s  

RSS   =   2.721e-003
SD    =   9.524e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.013e+000    1.314e-002
    2       2.000s    7.226e-001    7.008e-001   -2.173e-002
    3       3.000s    4.967e-001    4.860e-001   -1.065e-002
    4       4.000s    3.382e-001    3.383e-001    1.530e-004
    5       5.000s    2.217e-001    2.367e-001    1.496e-002
    6       6.000s    1.447e-001    1.668e-001    2.207e-002
    7       7.000s    1.065e-001    1.187e-001    1.222e-002
    8       8.000s    8.599e-002    8.561e-002   -3.751e-004
    9       9.000s    6.660e-002    6.284e-002   -3.769e-003
   10      10.000s    5.331e-002    4.715e-002   -6.165e-003
   11      11.000s    5.050e-002    3.634e-002   -1.415e-002
   12      12.000s    4.727e-002    2.889e-002   -1.838e-002
   13      13.000s    3.646e-002    2.374e-002   -1.272e-002
   14      14.000s    2.658e-002    2.018e-002   -6.401e-003
   15      15.000s    2.416e-002    1.771e-002   -6.445e-003
   16      16.000s    2.224e-002    1.600e-002   -6.246e-003
   17      17.000s    1.551e-002    1.479e-002   -7.122e-004
   18      18.000s    1.040e-002    1.395e-002    3.546e-003
   19      19.000s    1.167e-002    1.335e-002    1.674e-003
   20      20.000s    1.318e-002    1.291e-002   -2.725e-004
   21      21.000s    1.014e-002    1.259e-002    2.454e-003
   22      22.000s    7.567e-003    1.236e-002    4.789e-003
   23      23.000s    9.424e-003    1.217e-002    2.748e-003
   24      24.000s    1.088e-002    1.203e-002    1.143e-003
   25      25.000s    8.205e-003    1.191e-002    3.701e-003
   26      26.000s    5.718e-003    1.180e-002    6.087e-003
   27      27.000s    6.817e-003    1.172e-002    4.899e-003
   28      28.000s    7.731e-003    1.164e-002    3.904e-003
   29      29.000s    5.714e-003    1.156e-002    5.847e-003
   30      30.000s    4.311e-003    1.149e-002    7.180e-003

============================================================

