SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/680/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 146 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.249e+000    2.197e-002  
T     =       4.498s      111.637s  

RSS   =   2.077e-003
SD    =   8.320e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.021e+000    2.141e-002
    2       2.000s    8.462e-001    8.219e-001   -2.423e-002
    3       3.000s    6.821e-001    6.622e-001   -1.990e-002
    4       4.000s    5.285e-001    5.343e-001    5.769e-003
    5       5.000s    4.168e-001    4.318e-001    1.502e-002
    6       6.000s    3.478e-001    3.497e-001    1.952e-003
    7       7.000s    2.907e-001    2.840e-001   -6.761e-003
    8       8.000s    2.286e-001    2.313e-001    2.693e-003
    9       9.000s    1.763e-001    1.891e-001    1.273e-002
   10      10.000s    1.478e-001    1.552e-001    7.433e-003
   11      11.000s    1.313e-001    1.281e-001   -3.141e-003
   12      12.000s    1.104e-001    1.064e-001   -4.039e-003
   13      13.000s    8.833e-002    8.892e-002    5.923e-004
   14      14.000s    7.518e-002    7.492e-002   -2.654e-004
   15      15.000s    6.792e-002    6.367e-002   -4.246e-003
   16      16.000s    5.770e-002    5.464e-002   -3.064e-003
   17      17.000s    4.637e-002    4.737e-002    9.991e-004
   18      18.000s    4.098e-002    4.152e-002    5.342e-004
   19      19.000s    3.963e-002    3.680e-002   -2.829e-003
   20      20.000s    3.542e-002    3.299e-002   -2.429e-003
   21      21.000s    2.897e-002    2.991e-002    9.468e-004
   22      22.000s    2.571e-002    2.742e-002    1.703e-003
   23      23.000s    2.526e-002    2.539e-002    1.297e-004
   24      24.000s    2.315e-002    2.373e-002    5.792e-004
   25      25.000s    1.990e-002    2.237e-002    2.469e-003
   26      26.000s    1.933e-002    2.126e-002    1.927e-003
   27      27.000s    2.074e-002    2.033e-002   -4.062e-004
   28      28.000s    2.067e-002    1.956e-002   -1.101e-003
   29      29.000s    2.001e-002    1.892e-002   -1.095e-003
   30      30.000s    2.240e-002    1.837e-002   -4.023e-003

============================================================

