SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/290/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.327e+000    2.947e-002  
T     =       4.190s    272770404569675.250s  

RSS   =   2.113e-002
SD    =   2.654e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.075e+000    7.459e-002
    2       2.000s    8.901e-001    8.527e-001   -3.738e-002
    3       3.000s    7.429e-001    6.779e-001   -6.502e-002
    4       4.000s    5.896e-001    5.402e-001   -4.943e-002
    5       5.000s    4.540e-001    4.318e-001   -2.222e-002
    6       6.000s    3.420e-001    3.463e-001    4.381e-003
    7       7.000s    2.542e-001    2.791e-001    2.490e-002
    8       8.000s    1.916e-001    2.261e-001    3.442e-002
    9       9.000s    1.503e-001    1.843e-001    3.400e-002
   10      10.000s    1.210e-001    1.514e-001    3.041e-002
   11      11.000s    9.814e-002    1.255e-001    2.740e-002
   12      12.000s    8.183e-002    1.051e-001    2.331e-002
   13      13.000s    7.189e-002    8.907e-002    1.719e-002
   14      14.000s    6.517e-002    7.642e-002    1.125e-002
   15      15.000s    5.971e-002    6.645e-002    6.740e-003
   16      16.000s    5.599e-002    5.860e-002    2.604e-003
   17      17.000s    5.349e-002    5.241e-002   -1.083e-003
   18      18.000s    5.022e-002    4.754e-002   -2.677e-003
   19      19.000s    4.620e-002    4.370e-002   -2.497e-003
   20      20.000s    4.365e-002    4.068e-002   -2.970e-003
   21      21.000s    4.311e-002    3.830e-002   -4.807e-003
   22      22.000s    4.282e-002    3.642e-002   -6.398e-003
   23      23.000s    4.214e-002    3.495e-002   -7.194e-003
   24      24.000s    4.225e-002    3.378e-002   -8.468e-003
   25      25.000s    4.336e-002    3.287e-002   -1.049e-002
   26      26.000s    4.413e-002    3.215e-002   -1.199e-002
   27      27.000s    4.431e-002    3.158e-002   -1.273e-002
   28      28.000s    4.501e-002    3.113e-002   -1.388e-002
   29      29.000s    4.632e-002    3.078e-002   -1.554e-002
   30      30.000s    4.692e-002    3.050e-002   -1.642e-002

============================================================

