SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/470/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 190 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.498e+000    6.947e-003  
T     =       1.114s       65.261s  

RSS   =   3.229e-002
SD    =   3.281e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.025e+000    2.472e-002
    2       2.000s    5.254e-001    4.215e-001   -1.039e-001
    3       3.000s    1.161e-001    1.756e-001    5.950e-002
    4       4.000s    -3.584e-002    7.538e-002    1.112e-001
    5       5.000s    4.904e-003    3.448e-002    2.958e-002
    6       6.000s    5.517e-002    1.776e-002   -3.740e-002
    7       7.000s    4.083e-002    1.090e-002   -2.993e-002
    8       8.000s    1.696e-002    8.043e-003   -8.920e-003
    9       9.000s    2.532e-002    6.825e-003   -1.849e-002
   10      10.000s    3.600e-002    6.275e-003   -2.973e-002
   11      11.000s    2.204e-002    5.998e-003   -1.605e-002
   12      12.000s    5.004e-003    5.832e-003    8.282e-004
   13      13.000s    6.433e-003    5.714e-003   -7.195e-004
   14      14.000s    1.192e-002    5.614e-003   -6.310e-003
   15      15.000s    5.700e-003    5.524e-003   -1.763e-004
   16      16.000s    -9.967e-004    5.438e-003    6.435e-003
   17      17.000s    3.416e-003    5.354e-003    1.939e-003
   18      18.000s    8.341e-003    5.273e-003   -3.069e-003
   19      19.000s    3.568e-003    5.192e-003    1.625e-003
   20      20.000s    -1.667e-003    5.113e-003    6.780e-003
   21      21.000s    1.722e-003    5.036e-003    3.314e-003
   22      22.000s    5.781e-003    4.959e-003   -8.221e-004
   23      23.000s    2.511e-003    4.884e-003    2.372e-003
   24      24.000s    -1.075e-003    4.809e-003    5.884e-003
   25      25.000s    2.188e-003    4.736e-003    2.548e-003
   26      26.000s    6.081e-003    4.664e-003   -1.417e-003
   27      27.000s    4.104e-003    4.593e-003    4.890e-004
   28      28.000s    1.795e-003    4.523e-003    2.728e-003
   29      29.000s    5.244e-003    4.455e-003   -7.899e-004
   30      30.000s    1.003e-002    4.387e-003   -5.640e-003

============================================================

