SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack04_RCM_191214/310/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.444e+000    3.848e-003  
T     =       3.009s    10698269043983.217s  

RSS   =   8.631e-003
SD    =   1.696e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.039e+000    3.949e-002
    2       2.000s    7.911e-001    7.467e-001   -4.443e-002
    3       3.000s    5.716e-001    5.367e-001   -3.500e-002
    4       4.000s    4.013e-001    3.860e-001   -1.530e-002
    5       5.000s    2.681e-001    2.780e-001    9.856e-003
    6       6.000s    1.679e-001    2.005e-001    3.257e-002
    7       7.000s    1.108e-001    1.449e-001    3.409e-002
    8       8.000s    8.470e-002    1.050e-001    2.030e-002
    9       9.000s    6.440e-002    7.640e-002    1.200e-002
   10      10.000s    4.572e-002    5.589e-002    1.016e-002
   11      11.000s    3.905e-002    4.117e-002    2.120e-003
   12      12.000s    4.029e-002    3.062e-002   -9.667e-003
   13      13.000s    3.568e-002    2.305e-002   -1.263e-002
   14      14.000s    2.605e-002    1.762e-002   -8.424e-003
   15      15.000s    2.203e-002    1.373e-002   -8.302e-003
   16      16.000s    2.242e-002    1.093e-002   -1.148e-002
   17      17.000s    1.791e-002    8.930e-003   -8.976e-003
   18      18.000s    1.005e-002    7.493e-003   -2.556e-003
   19      19.000s    7.674e-003    6.463e-003   -1.211e-003
   20      20.000s    9.632e-003    5.723e-003   -3.908e-003
   21      21.000s    7.894e-003    5.193e-003   -2.701e-003
   22      22.000s    3.250e-003    4.813e-003    1.563e-003
   23      23.000s    2.690e-003    4.540e-003    1.850e-003
   24      24.000s    5.291e-003    4.344e-003   -9.467e-004
   25      25.000s    4.681e-003    4.204e-003   -4.769e-004
   26      26.000s    1.812e-003    4.103e-003    2.291e-003
   27      27.000s    2.416e-003    4.031e-003    1.615e-003
   28      28.000s    5.310e-003    3.979e-003   -1.331e-003
   29      29.000s    5.158e-003    3.942e-003   -1.216e-003
   30      30.000s    3.281e-003    3.915e-003    6.341e-004

============================================================

