SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack04_RCM_191214/320/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 137 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.603e+000    -1.059e-001  
T     =       2.411s        2.411s  

RSS   =   1.517e-002
SD    =   2.248e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.888e-001   -1.116e-002
    2       2.000s    6.683e-001    6.532e-001   -1.518e-002
    3       3.000s    3.940e-001    4.314e-001    3.741e-002
    4       4.000s    2.447e-001    2.850e-001    4.030e-002
    5       5.000s    1.801e-001    1.882e-001    8.124e-003
    6       6.000s    1.371e-001    1.243e-001   -1.280e-002
    7       7.000s    9.931e-002    8.213e-002   -1.718e-002
    8       8.000s    7.895e-002    5.425e-002   -2.470e-002
    9       9.000s    7.305e-002    3.583e-002   -3.722e-002
   10      10.000s    6.565e-002    2.367e-002   -4.198e-002
   11      11.000s    5.409e-002    1.563e-002   -3.845e-002
   12      12.000s    4.698e-002    1.033e-002   -3.665e-002
   13      13.000s    4.403e-002    6.821e-003   -3.721e-002
   14      14.000s    3.712e-002    4.506e-003   -3.262e-002
   15      15.000s    2.652e-002    2.976e-003   -2.355e-002
   16      16.000s    2.006e-002    1.966e-003   -1.810e-002
   17      17.000s    1.883e-002    1.298e-003   -1.753e-002
   18      18.000s    1.654e-002    8.577e-004   -1.568e-002
   19      19.000s    1.164e-002    5.665e-004   -1.108e-002
   20      20.000s    8.768e-003    3.742e-004   -8.393e-003
   21      21.000s    9.000e-003    2.472e-004   -8.753e-003
   22      22.000s    8.347e-003    1.633e-004   -8.184e-003
   23      23.000s    5.817e-003    1.078e-004   -5.709e-003
   24      24.000s    4.759e-003    7.124e-005   -4.688e-003
   25      25.000s    5.950e-003    4.705e-005   -5.903e-003
   26      26.000s    6.435e-003    3.108e-005   -6.404e-003
   27      27.000s    5.621e-003    2.053e-005   -5.601e-003
   28      28.000s    6.360e-003    1.356e-005   -6.346e-003
   29      29.000s    9.554e-003    8.957e-006   -9.545e-003
   30      30.000s    1.299e-002    5.917e-006   -1.299e-002

============================================================

