SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/260/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 121 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.415e+000    1.170e-002  
T     =       3.103s      177.232s  

RSS   =   7.467e-003
SD    =   1.578e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.037e+000    3.711e-002
    2       2.000s    8.009e-001    7.545e-001   -4.636e-002
    3       3.000s    5.851e-001    5.498e-001   -3.535e-002
    4       4.000s    4.032e-001    4.014e-001   -1.820e-003
    5       5.000s    2.732e-001    2.939e-001    2.076e-002
    6       6.000s    1.877e-001    2.160e-001    2.836e-002
    7       7.000s    1.345e-001    1.596e-001    2.506e-002
    8       8.000s    1.033e-001    1.186e-001    1.535e-002
    9       9.000s    8.401e-002    8.897e-002    4.958e-003
   10      10.000s    6.969e-002    6.746e-002   -2.226e-003
   11      11.000s    5.874e-002    5.186e-002   -6.882e-003
   12      12.000s    5.097e-002    4.054e-002   -1.043e-002
   13      13.000s    4.394e-002    3.232e-002   -1.162e-002
   14      14.000s    3.602e-002    2.635e-002   -9.671e-003
   15      15.000s    2.899e-002    2.201e-002   -6.979e-003
   16      16.000s    2.462e-002    1.885e-002   -5.766e-003
   17      17.000s    2.155e-002    1.654e-002   -5.011e-003
   18      18.000s    1.813e-002    1.485e-002   -3.275e-003
   19      19.000s    1.524e-002    1.362e-002   -1.627e-003
   20      20.000s    1.403e-002    1.270e-002   -1.327e-003
   21      21.000s    1.324e-002    1.202e-002   -1.211e-003
   22      22.000s    1.134e-002    1.152e-002    1.748e-004
   23      23.000s    9.102e-003    1.113e-002    2.032e-003
   24      24.000s    7.882e-003    1.084e-002    2.959e-003
   25      25.000s    7.437e-003    1.061e-002    3.175e-003
   26      26.000s    7.074e-003    1.043e-002    3.358e-003
   27      27.000s    7.155e-003    1.029e-002    3.130e-003
   28      28.000s    7.960e-003    1.016e-002    2.204e-003
   29      29.000s    8.936e-003    1.006e-002    1.125e-003
   30      30.000s    1.037e-002    9.971e-003   -4.039e-004

============================================================

