SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/630/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 165 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.536e+000    5.924e-003  
T     =       2.447s      154.747s  

RSS   =   5.539e-003
SD    =   1.359e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.027e+000    2.657e-002
    2       2.000s    7.347e-001    6.841e-001   -5.059e-002
    3       3.000s    4.600e-001    4.565e-001   -3.459e-003
    4       4.000s    2.965e-001    3.053e-001    8.796e-003
    5       5.000s    1.993e-001    2.048e-001    5.449e-003
    6       6.000s    1.173e-001    1.380e-001    2.065e-002
    7       7.000s    6.580e-002    9.356e-002    2.776e-002
    8       8.000s    5.458e-002    6.403e-002    9.456e-003
    9       9.000s    5.060e-002    4.440e-002   -6.197e-003
   10      10.000s    3.401e-002    3.135e-002   -2.668e-003
   11      11.000s    2.386e-002    2.266e-002   -1.198e-003
   12      12.000s    3.006e-002    1.687e-002   -1.319e-002
   13      13.000s    3.191e-002    1.302e-002   -1.890e-002
   14      14.000s    1.896e-002    1.044e-002   -8.515e-003
   15      15.000s    9.219e-003    8.719e-003   -4.997e-004
   16      16.000s    1.275e-002    7.563e-003   -5.188e-003
   17      17.000s    1.453e-002    6.784e-003   -7.748e-003
   18      18.000s    6.080e-003    6.254e-003    1.742e-004
   19      19.000s    7.719e-004    5.891e-003    5.119e-003
   20      20.000s    5.839e-003    5.639e-003   -2.002e-004
   21      21.000s    8.747e-003    5.460e-003   -3.287e-003
   22      22.000s    2.645e-003    5.330e-003    2.685e-003
   23      23.000s    -1.137e-003    5.233e-003    6.369e-003
   24      24.000s    3.704e-003    5.157e-003    1.453e-003
   25      25.000s    6.843e-003    5.096e-003   -1.747e-003
   26      26.000s    2.464e-003    5.045e-003    2.581e-003
   27      27.000s    -1.461e-004    5.000e-003    5.146e-003
   28      28.000s    4.088e-003    4.960e-003    8.717e-004
   29      29.000s    6.597e-003    4.922e-003   -1.675e-003
   30      30.000s    3.007e-003    4.887e-003    1.881e-003

============================================================

