SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/710/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 169 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.139e+000    1.750e-001  
T     =       4.188s        4.187s  

RSS   =   4.473e-003
SD    =   1.221e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.035e+000    3.489e-002
    2       2.000s    8.327e-001    8.150e-001   -1.761e-002
    3       3.000s    6.763e-001    6.419e-001   -3.442e-002
    4       4.000s    5.268e-001    5.055e-001   -2.127e-002
    5       5.000s    3.991e-001    3.982e-001   -9.112e-004
    6       6.000s    3.079e-001    3.136e-001    5.699e-003
    7       7.000s    2.426e-001    2.470e-001    4.335e-003
    8       8.000s    1.859e-001    1.945e-001    8.629e-003
    9       9.000s    1.380e-001    1.532e-001    1.515e-002
   10      10.000s    1.063e-001    1.206e-001    1.434e-002
   11      11.000s    8.524e-002    9.501e-002    9.770e-003
   12      12.000s    6.500e-002    7.483e-002    9.826e-003
   13      13.000s    4.710e-002    5.893e-002    1.183e-002
   14      14.000s    3.747e-002    4.641e-002    8.947e-003
   15      15.000s    3.285e-002    3.655e-002    3.702e-003
   16      16.000s    2.641e-002    2.879e-002    2.375e-003
   17      17.000s    1.945e-002    2.267e-002    3.226e-003
   18      18.000s    1.668e-002    1.786e-002    1.176e-003
   19      19.000s    1.620e-002    1.406e-002   -2.138e-003
   20      20.000s    1.353e-002    1.108e-002   -2.459e-003
   21      21.000s    1.021e-002    8.723e-003   -1.490e-003
   22      22.000s    9.830e-003    6.870e-003   -2.960e-003
   23      23.000s    1.054e-002    5.411e-003   -5.130e-003
   24      24.000s    9.004e-003    4.261e-003   -4.742e-003
   25      25.000s    7.075e-003    3.356e-003   -3.719e-003
   26      26.000s    7.757e-003    2.643e-003   -5.113e-003
   27      27.000s    9.054e-003    2.082e-003   -6.972e-003
   28      28.000s    8.166e-003    1.639e-003   -6.527e-003
   29      29.000s    7.265e-003    1.291e-003   -5.974e-003
   30      30.000s    9.155e-003    1.017e-003   -8.138e-003

============================================================

