SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/200/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 405 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.871e+000    7.782e-002  
T     =       1.458s       10.311s  

RSS   =   5.147e-003
SD    =   1.310e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.013e+000    1.333e-002
    2       2.000s    5.843e-001    5.390e-001   -4.535e-002
    3       3.000s    2.783e-001    2.974e-001    1.905e-002
    4       4.000s    1.389e-001    1.733e-001    3.438e-002
    5       5.000s    9.723e-002    1.086e-001    1.138e-002
    6       6.000s    7.745e-002    7.406e-002   -3.389e-003
    7       7.000s    6.173e-002    5.487e-002   -6.865e-003
    8       8.000s    5.697e-002    4.358e-002   -1.340e-002
    9       9.000s    5.531e-002    3.642e-002   -1.889e-002
   10      10.000s    4.572e-002    3.147e-002   -1.425e-002
   11      11.000s    3.324e-002    2.777e-002   -5.473e-003
   12      12.000s    2.665e-002    2.480e-002   -1.851e-003
   13      13.000s    2.294e-002    2.231e-002   -6.383e-004
   14      14.000s    1.651e-002    2.014e-002    3.638e-003
   15      15.000s    1.078e-002    1.823e-002    7.450e-003
   16      16.000s    1.020e-002    1.652e-002    6.323e-003
   17      17.000s    1.082e-002    1.498e-002    4.162e-003
   18      18.000s    8.047e-003    1.359e-002    5.542e-003
   19      19.000s    5.012e-003    1.233e-002    7.317e-003
   20      20.000s    5.614e-003    1.119e-002    5.574e-003
   21      21.000s    6.906e-003    1.015e-002    3.247e-003
   22      22.000s    5.349e-003    9.214e-003    3.865e-003
   23      23.000s    3.779e-003    8.362e-003    4.583e-003
   24      24.000s    5.583e-003    7.589e-003    2.006e-003
   25      25.000s    7.979e-003    6.888e-003   -1.091e-003
   26      26.000s    7.313e-003    6.251e-003   -1.062e-003
   27      27.000s    5.812e-003    5.673e-003   -1.386e-004
   28      28.000s    7.260e-003    5.149e-003   -2.111e-003
   29      29.000s    1.052e-002    4.673e-003   -5.851e-003
   30      30.000s    1.279e-002    4.241e-003   -8.549e-003

============================================================

