SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/260/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 115 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.459e+000    -7.068e-004  
T     =       3.052s      260.887s  

RSS   =   1.140e-002
SD    =   1.950e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.051e+000    5.072e-002
    2       2.000s    8.159e-001    7.569e-001   -5.895e-002
    3       3.000s    5.955e-001    5.453e-001   -5.023e-002
    4       4.000s    3.930e-001    3.927e-001   -3.251e-004
    5       5.000s    2.546e-001    2.828e-001    2.818e-002
    6       6.000s    1.795e-001    2.036e-001    2.411e-002
    7       7.000s    1.330e-001    1.465e-001    1.354e-002
    8       8.000s    9.128e-002    1.054e-001    1.410e-002
    9       9.000s    5.785e-002    7.575e-002    1.790e-002
   10      10.000s    4.050e-002    5.440e-002    1.390e-002
   11      11.000s    3.311e-002    3.901e-002    5.905e-003
   12      12.000s    2.561e-002    2.792e-002    2.318e-003
   13      13.000s    1.752e-002    1.994e-002    2.415e-003
   14      14.000s    1.304e-002    1.418e-002    1.145e-003
   15      15.000s    1.110e-002    1.003e-002   -1.066e-003
   16      16.000s    8.062e-003    7.046e-003   -1.016e-003
   17      17.000s    4.590e-003    4.894e-003    3.041e-004
   18      18.000s    3.459e-003    3.344e-003   -1.154e-004
   19      19.000s    3.974e-003    2.228e-003   -1.746e-003
   20      20.000s    3.650e-003    1.424e-003   -2.226e-003
   21      21.000s    2.768e-003    8.459e-004   -1.922e-003
   22      22.000s    3.089e-003    4.299e-004   -2.659e-003
   23      23.000s    4.203e-003    1.307e-004   -4.072e-003
   24      24.000s    4.611e-003    -8.416e-005   -4.695e-003
   25      25.000s    4.668e-003    -2.383e-004   -4.907e-003
   26      26.000s    5.552e-003    -3.487e-004   -5.901e-003
   27      27.000s    6.873e-003    -4.276e-004   -7.301e-003
   28      28.000s    7.821e-003    -4.838e-004   -8.305e-003
   29      29.000s    9.305e-003    -5.236e-004   -9.829e-003
   30      30.000s    1.272e-002    -5.516e-004   -1.328e-002

============================================================

