SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/410/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.483e+000    6.217e-003  
T     =       2.766s    7765379876794.969s  

RSS   =   8.320e-003
SD    =   1.665e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.039e+000    3.927e-002
    2       2.000s    7.824e-001    7.259e-001   -5.649e-002
    3       3.000s    5.387e-001    5.075e-001   -3.114e-002
    4       4.000s    3.500e-001    3.555e-001    5.408e-003
    5       5.000s    2.281e-001    2.495e-001    2.136e-002
    6       6.000s    1.493e-001    1.757e-001    2.640e-002
    7       7.000s    9.832e-002    1.243e-001    2.596e-002
    8       8.000s    7.087e-002    8.846e-002    1.760e-002
    9       9.000s    5.782e-002    6.351e-002    5.688e-003
   10      10.000s    4.796e-002    4.613e-002   -1.834e-003
   11      11.000s    3.898e-002    3.402e-002   -4.954e-003
   12      12.000s    3.381e-002    2.559e-002   -8.224e-003
   13      13.000s    3.068e-002    1.971e-002   -1.097e-002
   14      14.000s    2.536e-002    1.562e-002   -9.745e-003
   15      15.000s    1.897e-002    1.277e-002   -6.209e-003
   16      16.000s    1.546e-002    1.078e-002   -4.683e-003
   17      17.000s    1.428e-002    9.395e-003   -4.889e-003
   18      18.000s    1.212e-002    8.431e-003   -3.687e-003
   19      19.000s    9.162e-003    7.759e-003   -1.403e-003
   20      20.000s    7.908e-003    7.291e-003   -6.164e-004
   21      21.000s    7.852e-003    6.966e-003   -8.862e-004
   22      22.000s    6.737e-003    6.738e-003    1.672e-006
   23      23.000s    5.195e-003    6.580e-003    1.385e-003
   24      24.000s    5.372e-003    6.470e-003    1.098e-003
   25      25.000s    6.506e-003    6.393e-003   -1.123e-004
   26      26.000s    6.243e-003    6.340e-003    9.682e-005
   27      27.000s    5.016e-003    6.303e-003    1.287e-003
   28      28.000s    5.071e-003    6.277e-003    1.206e-003
   29      29.000s    6.347e-003    6.259e-003   -8.856e-005
   30      30.000s    7.071e-003    6.246e-003   -8.245e-004

============================================================

