SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/190/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.617e+000    1.109e-002  
T     =       2.292s    1070223148303.049s  

RSS   =   2.934e-002
SD    =   3.128e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.056e+000    5.605e-002
    2       2.000s    7.852e-001    6.866e-001   -9.862e-002
    3       3.000s    5.038e-001    4.477e-001   -5.612e-002
    4       4.000s    2.480e-001    2.933e-001    4.529e-002
    5       5.000s    1.088e-001    1.935e-001    8.476e-002
    6       6.000s    8.079e-002    1.290e-001    4.822e-002
    7       7.000s    8.469e-002    8.732e-002    2.633e-003
    8       8.000s    6.964e-002    6.036e-002   -9.274e-003
    9       9.000s    4.968e-002    4.294e-002   -6.744e-003
   10      10.000s    4.642e-002    3.168e-002   -1.475e-002
   11      11.000s    4.826e-002    2.440e-002   -2.387e-002
   12      12.000s    3.901e-002    1.969e-002   -1.932e-002
   13      13.000s    2.681e-002    1.665e-002   -1.016e-002
   14      14.000s    2.407e-002    1.468e-002   -9.388e-003
   15      15.000s    2.448e-002    1.341e-002   -1.107e-002
   16      16.000s    1.829e-002    1.259e-002   -5.699e-003
   17      17.000s    1.106e-002    1.206e-002    9.978e-004
   18      18.000s    1.118e-002    1.171e-002    5.310e-004
   19      19.000s    1.375e-002    1.149e-002   -2.254e-003
   20      20.000s    1.111e-002    1.135e-002    2.418e-004
   21      21.000s    7.026e-003    1.126e-002    4.230e-003
   22      22.000s    7.765e-003    1.120e-002    3.431e-003
   23      23.000s    9.790e-003    1.116e-002    1.367e-003
   24      24.000s    7.645e-003    1.113e-002    3.487e-003
   25      25.000s    4.839e-003    1.112e-002    6.278e-003
   26      26.000s    6.580e-003    1.111e-002    4.526e-003
   27      27.000s    9.719e-003    1.110e-002    1.380e-003
   28      28.000s    9.347e-003    1.109e-002    1.747e-003
   29      29.000s    8.344e-003    1.109e-002    2.747e-003
   30      30.000s    1.174e-002    1.109e-002   -6.533e-004

============================================================

