SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/410/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.468e+000    3.133e-003  
T     =       2.889s    40979707462498.367s  

RSS   =   9.397e-003
SD    =   1.770e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.042e+000    4.168e-002
    2       2.000s    7.896e-001    7.378e-001   -5.175e-002
    3       3.000s    5.613e-001    5.229e-001   -3.848e-002
    4       4.000s    3.769e-001    3.708e-001   -6.143e-003
    5       5.000s    2.444e-001    2.632e-001    1.877e-002
    6       6.000s    1.542e-001    1.871e-001    3.290e-002
    7       7.000s    1.005e-001    1.333e-001    3.282e-002
    8       8.000s    7.406e-002    9.520e-002    2.114e-002
    9       9.000s    5.977e-002    6.826e-002    8.493e-003
   10      10.000s    4.823e-002    4.921e-002    9.810e-004
   11      11.000s    4.004e-002    3.573e-002   -4.312e-003
   12      12.000s    3.566e-002    2.619e-002   -9.473e-003
   13      13.000s    3.076e-002    1.944e-002   -1.132e-002
   14      14.000s    2.348e-002    1.467e-002   -8.809e-003
   15      15.000s    1.745e-002    1.130e-002   -6.152e-003
   16      16.000s    1.467e-002    8.907e-003   -5.764e-003
   17      17.000s    1.223e-002    7.218e-003   -5.008e-003
   18      18.000s    8.300e-003    6.023e-003   -2.277e-003
   19      19.000s    5.449e-003    5.177e-003   -2.711e-004
   20      20.000s    5.408e-003    4.579e-003   -8.288e-004
   21      21.000s    5.909e-003    4.156e-003   -1.753e-003
   22      22.000s    4.973e-003    3.857e-003   -1.116e-003
   23      23.000s    3.922e-003    3.645e-003   -2.764e-004
   24      24.000s    3.977e-003    3.495e-003   -4.812e-004
   25      25.000s    3.841e-003    3.390e-003   -4.511e-004
   26      26.000s    2.691e-003    3.315e-003    6.235e-004
   27      27.000s    2.129e-003    3.262e-003    1.132e-003
   28      28.000s    3.242e-003    3.224e-003   -1.758e-005
   29      29.000s    4.707e-003    3.198e-003   -1.510e-003
   30      30.000s    5.525e-003    3.179e-003   -2.346e-003

============================================================

