SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack04_RCM_191214/740/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 424 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.286e+000    2.380e-001  
T     =       2.204s        6.055s  

RSS   =   9.557e-003
SD    =   1.785e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.019e+000    1.879e-002
    2       2.000s    7.462e-001    6.900e-001   -5.623e-002
    3       3.000s    4.609e-001    4.747e-001    1.379e-002
    4       4.000s    2.776e-001    3.323e-001    5.468e-002
    5       5.000s    2.206e-001    2.372e-001    1.658e-002
    6       6.000s    2.046e-001    1.728e-001   -3.180e-002
    7       7.000s    1.599e-001    1.286e-001   -3.133e-002
    8       8.000s    1.017e-001    9.758e-002   -4.076e-003
    9       9.000s    7.061e-002    7.547e-002    4.863e-003
   10      10.000s    6.293e-002    5.938e-002   -3.548e-003
   11      11.000s    5.012e-002    4.742e-002   -2.708e-003
   12      12.000s    2.993e-002    3.834e-002    8.407e-003
   13      13.000s    2.014e-002    3.132e-002    1.119e-002
   14      14.000s    2.166e-002    2.581e-002    4.141e-003
   15      15.000s    1.999e-002    2.140e-002    1.407e-003
   16      16.000s    1.282e-002    1.784e-002    5.021e-003
   17      17.000s    1.018e-002    1.493e-002    4.749e-003
   18      18.000s    1.281e-002    1.254e-002   -2.711e-004
   19      19.000s    1.178e-002    1.055e-002   -1.229e-003
   20      20.000s    6.436e-003    8.895e-003    2.458e-003
   21      21.000s    4.688e-003    7.509e-003    2.821e-003
   22      22.000s    7.496e-003    6.346e-003   -1.150e-003
   23      23.000s    8.067e-003    5.367e-003   -2.700e-003
   24      24.000s    5.166e-003    4.542e-003   -6.242e-004
   25      25.000s    4.302e-003    3.846e-003   -4.568e-004
   26      26.000s    6.572e-003    3.257e-003   -3.315e-003
   27      27.000s    7.606e-003    2.759e-003   -4.847e-003
   28      28.000s    6.996e-003    2.338e-003   -4.659e-003
   29      29.000s    8.882e-003    1.981e-003   -6.901e-003
   30      30.000s    1.361e-002    1.679e-003   -1.194e-002

============================================================

