SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack04_RCM_191214/320/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 442 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.336e+000    7.468e-002  
T     =       2.906s       14.494s  

RSS   =   2.116e-003
SD    =   8.398e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.017e+000    1.664e-002
    2       2.000s    7.606e-001    7.363e-001   -2.427e-002
    3       3.000s    5.531e-001    5.365e-001   -1.660e-002
    4       4.000s    3.894e-001    3.940e-001    4.588e-003
    5       5.000s    2.756e-001    2.920e-001    1.633e-002
    6       6.000s    2.045e-001    2.188e-001    1.439e-002
    7       7.000s    1.573e-001    1.662e-001    8.946e-003
    8       8.000s    1.229e-001    1.282e-001    5.262e-003
    9       9.000s    1.007e-001    1.005e-001   -2.478e-004
   10      10.000s    8.758e-002    8.025e-002   -7.329e-003
   11      11.000s    7.529e-002    6.530e-002   -9.998e-003
   12      12.000s    6.174e-002    5.413e-002   -7.611e-003
   13      13.000s    5.158e-002    4.570e-002   -5.878e-003
   14      14.000s    4.555e-002    3.923e-002   -6.322e-003
   15      15.000s    3.904e-002    3.419e-002   -4.854e-003
   16      16.000s    3.116e-002    3.019e-002   -9.653e-004
   17      17.000s    2.590e-002    2.696e-002    1.058e-003
   18      18.000s    2.383e-002    2.430e-002    4.701e-004
   19      19.000s    2.100e-002    2.207e-002    1.069e-003
   20      20.000s    1.672e-002    2.016e-002    3.444e-003
   21      21.000s    1.447e-002    1.851e-002    4.037e-003
   22      22.000s    1.471e-002    1.706e-002    2.349e-003
   23      23.000s    1.399e-002    1.577e-002    1.775e-003
   24      24.000s    1.178e-002    1.460e-002    2.822e-003
   25      25.000s    1.113e-002    1.355e-002    2.426e-003
   26      26.000s    1.215e-002    1.259e-002    4.453e-004
   27      27.000s    1.157e-002    1.172e-002    1.415e-004
   28      28.000s    9.286e-003    1.091e-002    1.621e-003
   29      29.000s    8.928e-003    1.016e-002    1.232e-003
   30      30.000s    1.140e-002    9.469e-003   -1.933e-003

============================================================

