SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/70/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 326 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.961e+000    2.639e-002  
T     =       1.496s       18.254s  

RSS   =   2.188e-002
SD    =   2.701e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.030e+000    2.985e-002
    2       2.000s    6.345e-001    5.387e-001   -9.582e-002
    3       3.000s    2.601e-001    2.864e-001    2.628e-002
    4       4.000s    7.043e-002    1.565e-001    8.608e-002
    5       5.000s    5.678e-002    8.942e-002    3.265e-002
    6       6.000s    7.949e-002    5.455e-002   -2.494e-002
    7       7.000s    5.968e-002    3.621e-002   -2.347e-002
    8       8.000s    3.044e-002    2.637e-002   -4.073e-003
    9       9.000s    3.157e-002    2.091e-002   -1.066e-002
   10      10.000s    4.300e-002    1.771e-002   -2.529e-002
   11      11.000s    3.516e-002    1.571e-002   -1.945e-002
   12      12.000s    1.876e-002    1.432e-002   -4.440e-003
   13      13.000s    1.511e-002    1.328e-002   -1.832e-003
   14      14.000s    1.796e-002    1.243e-002   -5.534e-003
   15      15.000s    1.265e-002    1.169e-002   -9.561e-004
   16      16.000s    4.639e-003    1.103e-002    6.391e-003
   17      17.000s    5.057e-003    1.042e-002    5.367e-003
   18      18.000s    8.428e-003    9.858e-003    1.430e-003
   19      19.000s    5.230e-003    9.327e-003    4.097e-003
   20      20.000s    4.483e-004    8.827e-003    8.379e-003
   21      21.000s    2.400e-003    8.355e-003    5.955e-003
   22      22.000s    6.459e-003    7.909e-003    1.450e-003
   23      23.000s    4.933e-003    7.487e-003    2.555e-003
   24      24.000s    1.623e-003    7.088e-003    5.465e-003
   25      25.000s    3.191e-003    6.710e-003    3.519e-003
   26      26.000s    6.146e-003    6.352e-003    2.059e-004
   27      27.000s    4.578e-003    6.014e-003    1.436e-003
   28      28.000s    1.939e-003    5.693e-003    3.754e-003
   29      29.000s    3.984e-003    5.389e-003    1.405e-003
   30      30.000s    7.858e-003    5.102e-003   -2.756e-003

============================================================

