SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/450/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 384 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.492e+000    7.970e-002  
T     =       2.252s       13.210s  

RSS   =   1.316e-002
SD    =   2.094e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.031e+000    3.107e-002
    2       2.000s    7.527e-001    6.825e-001   -7.025e-002
    3       3.000s    4.706e-001    4.573e-001   -1.324e-002
    4       4.000s    2.607e-001    3.115e-001    5.073e-002
    5       5.000s    1.670e-001    2.166e-001    4.958e-002
    6       6.000s    1.470e-001    1.545e-001    7.500e-003
    7       7.000s    1.350e-001    1.136e-001   -2.140e-002
    8       8.000s    1.071e-001    8.625e-002   -2.087e-002
    9       9.000s    7.973e-002    6.775e-002   -1.198e-002
   10      10.000s    6.603e-002    5.498e-002   -1.105e-002
   11      11.000s    5.848e-002    4.594e-002   -1.254e-002
   12      12.000s    4.761e-002    3.937e-002   -8.236e-003
   13      13.000s    3.621e-002    3.443e-002   -1.781e-003
   14      14.000s    2.976e-002    3.060e-002    8.413e-004
   15      15.000s    2.583e-002    2.752e-002    1.686e-003
   16      16.000s    2.008e-002    2.496e-002    4.885e-003
   17      17.000s    1.431e-002    2.279e-002    8.482e-003
   18      18.000s    1.229e-002    2.091e-002    8.619e-003
   19      19.000s    1.265e-002    1.924e-002    6.589e-003
   20      20.000s    1.166e-002    1.774e-002    6.082e-003
   21      21.000s    9.494e-003    1.639e-002    6.897e-003
   22      22.000s    8.859e-003    1.516e-002    6.300e-003
   23      23.000s    9.787e-003    1.403e-002    4.242e-003
   24      24.000s    1.016e-002    1.299e-002    2.835e-003
   25      25.000s    9.950e-003    1.203e-002    2.083e-003
   26      26.000s    1.111e-002    1.115e-002    3.564e-005
   27      27.000s    1.380e-002    1.033e-002   -3.468e-003
   28      28.000s    1.609e-002    9.577e-003   -6.511e-003
   29      29.000s    1.728e-002    8.877e-003   -8.403e-003
   30      30.000s    1.879e-002    8.229e-003   -1.056e-002

============================================================

