SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/650/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 402 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.368e+000    1.523e-002  
T     =       3.218s       33.928s  

RSS   =   1.873e-003
SD    =   7.901e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.018e+000    1.758e-002
    2       2.000s    7.705e-001    7.493e-001   -2.117e-002
    3       3.000s    5.699e-001    5.526e-001   -1.730e-002
    4       4.000s    4.111e-001    4.083e-001   -2.823e-003
    5       5.000s    2.920e-001    3.025e-001    1.050e-002
    6       6.000s    2.100e-001    2.248e-001    1.480e-002
    7       7.000s    1.560e-001    1.678e-001    1.181e-002
    8       8.000s    1.177e-001    1.259e-001    8.187e-003
    9       9.000s    9.042e-002    9.515e-002    4.736e-003
   10      10.000s    7.347e-002    7.252e-002   -9.529e-004
   11      11.000s    6.234e-002    5.585e-002   -6.488e-003
   12      12.000s    5.143e-002    4.355e-002   -7.880e-003
   13      13.000s    4.101e-002    3.447e-002   -6.543e-003
   14      14.000s    3.381e-002    2.773e-002   -6.082e-003
   15      15.000s    2.857e-002    2.273e-002   -5.840e-003
   16      16.000s    2.254e-002    1.899e-002   -3.551e-003
   17      17.000s    1.692e-002    1.618e-002   -7.465e-004
   18      18.000s    1.412e-002    1.405e-002   -7.029e-005
   19      19.000s    1.281e-002    1.243e-002   -3.748e-004
   20      20.000s    1.053e-002    1.118e-002    6.519e-004
   21      21.000s    8.292e-003    1.021e-002    1.916e-003
   22      22.000s    8.064e-003    9.434e-003    1.370e-003
   23      23.000s    8.548e-003    8.810e-003    2.620e-004
   24      24.000s    7.522e-003    8.298e-003    7.761e-004
   25      25.000s    5.927e-003    7.869e-003    1.942e-003
   26      26.000s    5.801e-003    7.503e-003    1.701e-003
   27      27.000s    6.424e-003    7.184e-003    7.604e-004
   28      28.000s    6.022e-003    6.901e-003    8.796e-004
   29      29.000s    5.168e-003    6.647e-003    1.478e-003
   30      30.000s    5.309e-003    6.414e-003    1.105e-003

============================================================

