SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/170/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.383e+000    5.128e-003  
T     =       3.394s    35154746791184.000s  

RSS   =   6.039e-003
SD    =   1.419e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.035e+000    3.531e-002
    2       2.000s    8.048e-001    7.724e-001   -3.235e-002
    3       3.000s    6.103e-001    5.766e-001   -3.373e-002
    4       4.000s    4.466e-001    4.308e-001   -1.579e-002
    5       5.000s    3.188e-001    3.222e-001    3.315e-003
    6       6.000s    2.240e-001    2.413e-001    1.728e-002
    7       7.000s    1.569e-001    1.810e-001    2.414e-002
    8       8.000s    1.119e-001    1.361e-001    2.426e-002
    9       9.000s    8.360e-002    1.027e-001    1.909e-002
   10      10.000s    6.685e-002    7.780e-002    1.095e-002
   11      11.000s    5.642e-002    5.925e-002    2.834e-003
   12      12.000s    4.856e-002    4.544e-002   -3.121e-003
   13      13.000s    4.200e-002    3.515e-002   -6.851e-003
   14      14.000s    3.653e-002    2.749e-002   -9.043e-003
   15      15.000s    3.139e-002    2.178e-002   -9.606e-003
   16      16.000s    2.595e-002    1.753e-002   -8.419e-003
   17      17.000s    2.081e-002    1.437e-002   -6.442e-003
   18      18.000s    1.679e-002    1.201e-002   -4.778e-003
   19      19.000s    1.369e-002    1.025e-002   -3.441e-003
   20      20.000s    1.104e-002    8.946e-003   -2.092e-003
   21      21.000s    9.062e-003    7.972e-003   -1.090e-003
   22      22.000s    8.039e-003    7.246e-003   -7.926e-004
   23      23.000s    7.414e-003    6.706e-003   -7.088e-004
   24      24.000s    6.641e-003    6.303e-003   -3.379e-004
   25      25.000s    6.029e-003    6.003e-003   -2.580e-005
   26      26.000s    5.874e-003    5.780e-003   -9.427e-005
   27      27.000s    5.640e-003    5.613e-003   -2.608e-005
   28      28.000s    4.949e-003    5.490e-003    5.403e-004
   29      29.000s    4.519e-003    5.397e-003    8.784e-004
   30      30.000s    5.192e-003    5.329e-003    1.366e-004

============================================================

