SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/430/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 341 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.464e+000    3.625e-002  
T     =       2.521s       17.196s  

RSS   =   2.923e-003
SD    =   9.871e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.019e+000    1.912e-002
    2       2.000s    7.335e-001    6.947e-001   -3.879e-002
    3       3.000s    4.787e-001    4.760e-001   -2.710e-003
    4       4.000s    3.133e-001    3.284e-001    1.505e-002
    5       5.000s    2.207e-001    2.286e-001    7.936e-003
    6       6.000s    1.528e-001    1.611e-001    8.331e-003
    7       7.000s    1.010e-001    1.153e-001    1.425e-002
    8       8.000s    7.758e-002    8.407e-002    6.495e-003
    9       9.000s    7.057e-002    6.271e-002   -7.856e-003
   10      10.000s    5.803e-002    4.800e-002   -1.003e-002
   11      11.000s    4.191e-002    3.777e-002   -4.139e-003
   12      12.000s    3.584e-002    3.058e-002   -5.259e-003
   13      13.000s    3.559e-002    2.546e-002   -1.014e-002
   14      14.000s    2.847e-002    2.173e-002   -6.740e-003
   15      15.000s    1.814e-002    1.897e-002    8.305e-004
   16      16.000s    1.592e-002    1.686e-002    9.476e-004
   17      17.000s    1.848e-002    1.521e-002   -3.262e-003
   18      18.000s    1.534e-002    1.389e-002   -1.448e-003
   19      19.000s    9.051e-003    1.279e-002    3.737e-003
   20      20.000s    8.790e-003    1.185e-002    3.065e-003
   21      21.000s    1.204e-002    1.104e-002   -1.002e-003
   22      22.000s    1.032e-002    1.032e-002    6.702e-006
   23      23.000s    5.727e-003    9.676e-003    3.948e-003
   24      24.000s    5.874e-003    9.086e-003    3.212e-003
   25      25.000s    8.701e-003    8.543e-003   -1.579e-004
   26      26.000s    7.346e-003    8.041e-003    6.946e-004
   27      27.000s    3.913e-003    7.574e-003    3.660e-003
   28      28.000s    4.561e-003    7.137e-003    2.576e-003
   29      29.000s    6.847e-003    6.728e-003   -1.193e-004
   30      30.000s    5.343e-003    6.344e-003    1.001e-003

============================================================

