SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/390/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 353 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.435e+000    2.412e-002  
T     =       2.760s       23.921s  

RSS   =   4.329e-003
SD    =   1.201e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.022e+000    2.232e-002
    2       2.000s    7.455e-001    7.177e-001   -2.783e-002
    3       3.000s    5.305e-001    5.054e-001   -2.505e-002
    4       4.000s    3.610e-001    3.574e-001   -3.555e-003
    5       5.000s    2.373e-001    2.542e-001    1.681e-002
    6       6.000s    1.592e-001    1.821e-001    2.289e-002
    7       7.000s    1.126e-001    1.317e-001    1.910e-002
    8       8.000s    8.184e-002    9.638e-002    1.455e-002
    9       9.000s    6.358e-002    7.163e-002    8.048e-003
   10      10.000s    5.719e-002    5.421e-002   -2.972e-003
   11      11.000s    5.399e-002    4.191e-002   -1.208e-002
   12      12.000s    4.676e-002    3.318e-002   -1.358e-002
   13      13.000s    3.894e-002    2.694e-002   -1.200e-002
   14      14.000s    3.515e-002    2.243e-002   -1.272e-002
   15      15.000s    3.172e-002    1.915e-002   -1.257e-002
   16      16.000s    2.445e-002    1.672e-002   -7.730e-003
   17      17.000s    1.702e-002    1.489e-002   -2.136e-003
   18      18.000s    1.389e-002    1.348e-002   -4.116e-004
   19      19.000s    1.244e-002    1.237e-002   -6.758e-005
   20      20.000s    9.048e-003    1.148e-002    2.430e-003
   21      21.000s    6.048e-003    1.074e-002    4.691e-003
   22      22.000s    6.378e-003    1.011e-002    3.734e-003
   23      23.000s    7.482e-003    9.567e-003    2.086e-003
   24      24.000s    6.317e-003    9.085e-003    2.768e-003
   25      25.000s    4.877e-003    8.650e-003    3.772e-003
   26      26.000s    5.605e-003    8.252e-003    2.647e-003
   27      27.000s    6.476e-003    7.883e-003    1.407e-003
   28      28.000s    5.284e-003    7.539e-003    2.255e-003
   29      29.000s    3.885e-003    7.215e-003    3.331e-003
   30      30.000s    4.146e-003    6.910e-003    2.764e-003

============================================================

